last_updated,Create Date,Do you feel the True North report identified the key challenges and opportunities facing the region? ,Are you interested in attending future True North events? ,Are you currently a B Corp or in the process of becoming a B Corp?,Would you be interested in hearing more from Brabners about the B Corp process?,Company name,City,Industry,sector,location,Which theme of the True North report do you most identify with and could support activity around?,How would you like to be involved with the True North network?,company_size
2023-10-04 13:18:00,2023-10-04 13:18:00,Yes,Yes,No,Yes,Huddersfield Town Foundation,Huddersfield,,"Charity, Sport",,"People, skills and the future",,
2023-10-04 12:18:00,2023-10-04 12:18:00,Yes,No,No,No,Finance Yorkshire,Barnsley,Financial Services,Finance for SMEs,,Other,,
2023-10-04 12:03:00,2023-10-04 12:03:00,Yes,Yes,No,Yes,Headsrenewables,,,Renewables hardware technology,,Sustainable development,,
2023-10-04 11:48:00,2023-10-04 11:48:00,Yes,Yes,No,No,Oakhill Veterinary Centre Ltd,Goosnargh,Retail,"Veterinary Services: Farm, Equine, Companion Animal",,"People, skills and the future",,
2023-10-04 11:35:00,2023-10-04 11:35:00,Yes,Yes,No,No,Nevard Roland Executive Search,Bristol,Human Resources,Recruitment,,"People, skills and the future",,
2023-10-04 11:35:00,2023-10-04 11:35:00,No,Yes,No,No,CBI,London,Non-Profit Organization Management,Business support,,Sustainable development,,
2023-10-04 11:32:00,2023-10-04 11:32:00,Yes,Yes,No,No,Liverpolitan,,Publishing,News and media,,Innovation and change,,
2023-10-04 11:24:00,2023-10-04 11:24:00,Yes,Yes,No,No,E-Rail,Glasgow,Construction,Rail project innovative funding,,Sustainable development,,
2023-10-04 11:13:00,2023-10-04 11:13:00,Yes,Yes,No,No,Codurance,London,Design,Technical consultancy,,Innovation and change,,
2023-10-04 11:10:00,2023-10-04 11:10:00,Yes,Yes,No,Yes,,,,Healthcare,,Innovation and change,,
2023-10-04 11:06:00,2023-10-04 11:06:00,Yes,Yes,No,No,The Grammar School at Leeds,Leeds,Primary/Secondary Education,Education,,"People, skills and the future",,
2023-10-04 11:06:00,2023-10-04 11:06:00,Yes,Yes,No,Yes,Quantuma LLP,London,Accounting,Finance,,"People, skills and the future",,
2023-10-04 10:57:00,2023-10-04 10:57:00,Yes,Yes,No,No,Weightmans LLP,Liverpool,Legal Services,Legal,,"People, skills and the future",,
2023-10-04 10:52:00,2023-10-04 10:52:00,Yes,Yes,No,Yes,HSBC,London,Banking,Real estate finance / banking,,Sustainable development,,
2023-10-04 10:48:00,2023-10-04 10:48:00,Yes,Yes,Yes,No,Newgate Comms,,,PR / communications,,Sustainable development,,
2023-10-04 10:43:00,2023-10-04 10:43:00,Yes,Yes,No,No,NatWest,London,Banking,Finance,,Sustainable development,,
2023-10-04 10:42:00,2023-10-04 10:42:00,Yes,Yes,No,No,faithbrandcomms.co.uk,,,Brand Communications,,Other,,
2023-10-04 10:32:00,2023-10-04 10:32:00,Yes,Yes,No,No,Stuart Bruce,,Public Relations and Communications,All sectors - we support companies with innovative purpose led communications and stakeholder relations.,,Innovation and change,,
2023-10-04 10:28:00,2023-10-04 10:28:00,Yes,Yes,No,Yes,Handelsbanken,,Banking,banking,,Other,,
2023-10-04 10:24:00,2023-10-04 10:24:00,Yes,Yes,No,Yes,MPG,Clayton,Environmental Services,"Construction, minerals, waste and renewables",,Sustainable development,,
